ID_CLIENTE;Cliente;Ragione_Sociale;Indirizzo;Citta;CAP;Provincia;P_IVA;Data_Creazione;ID_UTENTE_CREAZIONE;Data_Modifica;ID_UTENTE_MODIFICA
CLI0001;ALBINI;ALBINI;;;;;;;;;
CLI0002;AMGA;AMGA;;;;;;;;;
CLI0003;CALVI;CALVI;;;;;;;;;
CLI0004;FORGITAL;FORGITAL;;;;;;;;;
CLI0005;IK;IK;;;;;;;;;
CLI0006;"ITALPIZZA - MANTUA";MANTUA;;;;;;;;;
CLI0007;"ITALPIZZA - MODENA";ITALPIZZA;;;;;;;;;
CLI0008;IWT;IWT;;;;;;;;;
CLI0009;LACTALIS;LACTALIS;;;;;;;;;
CLI0010;"LACTALIS AMBROSI";AMBROSI;;;;;;;;;
CLI0011;"LACTALIS GALBANI";GALBANI;;;;;;;;;
CLI0012;"LACTALIS STABILIMENTI";LACTALIS;;;;;;;;;
CLI0013;LAVAZZA;LAVAZZA;;;;;;;;;
CLI0014;LINDT;LINDT;;;;;;;;;
CLI0015;"MAXION WHEELS";"MAXION WHEELS";;;;;;;;;
CLI0016;PERFETTI;PERFETTI;;;;;;;;;
CLI0017;SAMMONTANA;SAMMONTANA;;;;;;;;;
CLI0018;VIMAR;VIMAR;;;;;;;;;
